wall_time,record,target,event_epoch,gap_ms,threshold_ms,support,period_s,score,fit_ratio,p95_residual_ms,state,period_ms,offset_ms,observed_period_s,locked_period_s,predicted_event_epoch,phase_error_ms,action,probe_mode
1788853471.873426,start,,,,,,,,,,LEARNING,,,,,,,,LEARNING
1788853497.1174586,candidate,1.1.1.1,1788853497.009309053,126.604,76.695,,,,,,LEARNING,,,,,,,,LEARNING
1788853512.045444,candidate,100.64.0.1,1788853511.957045078,106.628,76.546,,,,,,LEARNING,,,,,,,,LEARNING
1788853512.1200907,candidate,8.8.8.8,1788853511.957023621,179.322,76.424,,,,,,LEARNING,,,,,,,,LEARNING
1788853516.9470928,common,"100.64.0.1,8.8.8.8",1788853511.957034349,,,2,,,,,LEARNING,,,,,,,,LEARNING
1788853527.101058,candidate,100.64.0.1,1788853527.015896082,105.955,75.695,,,,,,LEARNING,,,,,,,,LEARNING
1788853527.1019175,candidate,1.1.1.1,1788853527.015861511,106.008,76.587,,,,,,LEARNING,,,,,,,,LEARNING
1788853531.9876387,common,"1.1.1.1,100.64.0.1",1788853527.015878677,,,2,,,,,LEARNING,,,,,,,,LEARNING
1788853542.0838423,candidate,100.64.0.1,1788853542.021696806,82.752,76.852,,,,,,LEARNING,,,,,,,,LEARNING
1788853542.0845013,candidate,1.1.1.1,1788853542.013712406,90.739,77.292,,,,,,LEARNING,,,,,,,,LEARNING
1788853546.9944155,common,"1.1.1.1,100.64.0.1",1788853542.017704487,,,2,,,,,LEARNING,,,,,,,,LEARNING
1788853557.09029,candidate,8.8.8.8,1788853557.016511440,91.770,76.820,,,,,,LEARNING,,,,,,,,LEARNING
1788853557.093548,candidate,100.64.0.1,1788853556.996595144,111.706,76.990,,,,,,LEARNING,,,,,,,,LEARNING
1788853562.0118816,common,"100.64.0.1,8.8.8.8",1788853557.006553173,,,2,,,,,LEARNING,,,,,,,,LEARNING
1788853587.1238217,candidate,100.64.0.1,1788853587.005753994,135.119,75.378,,,,,,LEARNING,,,,,,,,LEARNING
1788853587.128241,candidate,8.8.8.8,1788853587.013614893,127.175,75.841,,,,,,LEARNING,,,,,,,,LEARNING
1788853587.1326766,candidate,1.1.1.1,1788853587.009657145,131.124,76.554,,,,,,LEARNING,,,,,,,,LEARNING
1788853587.1327503,common,"1.1.1.1,100.64.0.1,8.8.8.8",1788853587.009657145,,,3,,,,,LEARNING,,,,,,,,LEARNING
1788853602.0722606,candidate,100.64.0.1,1788853601.999959707,88.850,77.451,,,,,,LEARNING,,,,,,,,LEARNING
1788853602.0774214,candidate,8.8.8.8,1788853601.999830961,88.851,76.491,,,,,,LEARNING,,,,,,,,LEARNING
1788853602.0824206,candidate,1.1.1.1,1788853601.999843359,88.859,76.917,,,,,,LEARNING,,,,,,,,LEARNING
1788853602.1678352,common,"1.1.1.1,100.64.0.1,8.8.8.8",1788853601.999843359,,,3,,,,,LEARNING,,,,,,,,LEARNING
1788853602.1678352,fit,,,,,,15.001551986,0.943396,1.000000,48.375,LEARNING,,,15.001551986,,,,fit,LEARNING
1788853607.173888,fit,,,,,,15.001551986,0.943396,1.000000,48.375,LEARNING,,,15.001551986,,,,fit,LEARNING
