time_s avg_throughput_mbps experiment_count
0.000 99.282633 10
1.000 194.676963 10
2.000 247.457409 10
3.000 240.889898 10
4.000 229.011654 10
5.000 238.751381 10
6.000 224.492150 10
7.000 259.677876 10
8.000 226.331774 10
9.000 232.001413 10
10.000 225.488058 10
11.000 217.461207 10
12.000 240.594562 10
13.000 262.293660 10
14.000 218.090515 10
15.000 267.163356 10
16.000 227.868379 10
17.000 224.906556 10
18.000 213.457369 10
19.000 230.408245 10
20.000 203.139084 10
21.000 215.053873 10
22.000 218.092612 10
23.000 225.276598 10
24.000 214.077471 10
25.000 214.980168 10
26.000 204.412977 10
27.000 224.772974 10
28.000 204.362398 10
29.000 222.869332 10
30.000 217.321984 10
31.000 215.902710 10
32.000 216.881151 10
33.000 210.369567 10
34.000 223.559870 10
35.000 217.132414 10
36.000 221.973468 10
37.000 224.910949 10
38.000 220.532928 10
39.000 251.811338 10
40.000 217.756319 10
41.000 217.889266 10
42.000 218.688807 10
43.000 205.406947 10
44.000 218.373263 10
45.000 225.179762 10
46.000 246.837654 10
47.000 262.284949 10
48.000 224.320759 10
49.000 225.381188 10
50.000 237.505367 10
51.000 237.269728 10
52.000 239.691093 10
53.000 217.066052 10
54.000 220.836133 10
55.000 228.248697 10
56.000 225.088660 10
57.000 222.134561 10
58.000 239.713694 10
59.000 211.122820 10
60.000 211.804022 10
61.000 215.083789 10
62.000 208.000882 10
63.000 213.029075 10
64.000 195.815893 10
65.000 205.385320 10
66.000 195.900068 10
67.000 200.890450 10
68.000 194.443930 10
69.000 199.179374 10
70.000 185.670260 10
71.000 242.478408 10
72.000 216.163266 10
73.000 209.778535 10
74.000 214.089196 10
75.000 205.925249 10
76.000 214.700369 10
77.000 217.847889 10
78.000 215.987496 10
79.000 211.293493 10
80.000 220.411154 10
81.000 209.281006 10
82.000 214.959727 10
83.000 214.850196 10
84.000 208.089792 10
85.000 214.339267 10
86.000 197.919484 10
87.000 205.895637 10
88.000 200.936028 10
89.000 222.939888 10
90.000 204.892417 10
91.000 213.929021 10
92.000 215.121133 10
93.000 224.145248 10
94.000 214.791369 10
95.000 207.951481 10
96.000 218.178464 10
97.000 205.747677 10
98.000 212.012901 10
99.000 206.367398 10
100.000 205.396215 10
101.000 193.390419 10
102.000 216.130462 10
103.000 214.138795 10
104.000 229.324941 10
105.000 212.690276 10
106.000 232.298815 10
107.000 210.772309 10
108.000 212.569438 10
109.000 231.667836 10
110.000 217.354640 10
111.000 216.852441 10
112.000 217.869378 10
113.000 192.513129 10
114.000 213.103534 10
115.000 220.583278 10
116.000 194.937463 10
117.000 231.296175 10
118.000 217.832129 10
119.000 210.425577 10
120.000 206.892770 10
121.000 211.907508 10
122.000 206.947187 10
123.000 212.612101 10
124.000 191.603898 10
125.000 206.052726 10
126.000 191.584065 10
127.000 207.873262 10
128.000 208.466273 10
129.000 207.965361 10
130.000 210.446315 10
131.000 197.927172 10
132.000 207.452577 10
133.000 217.921492 10
134.000 199.784590 10
135.000 218.380532 10
136.000 207.702589 10
137.000 203.853485 10
138.000 197.565868 10
139.000 202.174133 10
140.000 208.983454 10
141.000 191.585962 10
142.000 225.810546 10
143.000 205.415689 10
144.000 218.016434 10
145.000 198.127943 10
146.000 207.683873 10
147.000 216.333436 10
148.000 195.282426 10
149.000 211.677771 10
150.000 216.243769 10
151.000 208.680357 10
152.000 206.092120 10
153.000 214.573779 10
154.000 197.847625 10
155.000 205.596011 10
156.000 203.014867 10
157.000 211.155568 10
158.000 206.806862 10
159.000 211.064097 10
160.000 216.395721 10
161.000 224.004603 10
162.000 209.862953 10
163.000 204.809794 10
164.000 219.658438 10
165.000 211.363741 10
166.000 230.226756 10
167.000 228.820965 10
168.000 209.470620 10
169.000 196.912933 10
170.000 223.133794 10
171.000 236.873623 10
172.000 224.057698 10
173.000 222.531346 10
174.000 207.411587 10
175.000 212.930016 10
176.000 200.687765 10
177.000 236.740125 10
178.000 224.591431 10
179.000 218.133387 10
180.000 277.493039 8
181.000 225.264121 8
182.000 226.640580 8
183.000 221.783870 8
184.000 210.194878 8
185.000 198.628517 8
186.000 205.210094 8
187.000 223.535555 8
188.000 222.660980 8
189.000 212.877965 8
190.000 219.270810 8
191.000 196.525361 8
192.000 215.590073 8
193.000 206.091725 8
194.000 198.945962 8
195.000 198.862425 8
196.000 206.246717 8
197.000 203.222736 8
198.000 212.556045 8
199.000 201.244716 8
200.000 199.576897 8
201.000 191.407595 8
202.000 202.791430 8
203.000 180.576985 8
204.000 194.159611 8
205.000 192.757564 8
206.000 190.972309 8
207.000 192.929157 8
208.000 199.591349 8
209.000 194.290157 8
210.000 203.283667 8
211.000 196.319540 8
212.000 197.720905 8
213.000 194.098601 8
214.000 188.593230 8
215.000 194.329248 8
216.000 186.901632 8
217.000 211.527578 8
218.000 191.793934 8
219.000 226.936474 8
220.000 197.499779 8
221.000 189.281345 8
222.000 186.457621 8
223.000 177.282692 8
224.000 186.876845 8
225.000 181.539913 8
226.000 181.492041 8
227.000 199.447131 8
228.000 195.973040 8
229.000 185.836759 8
230.000 204.908015 8
231.000 196.818455 8
232.000 226.577530 8
233.000 217.171264 8
234.000 209.617022 8
235.000 216.919307 8
236.000 215.349618 8
237.000 222.519822 8
238.000 213.313731 8
239.000 200.150165 8
240.000 200.170422 8
241.000 199.382979 8
242.000 190.448353 8
243.000 192.568938 8
244.000 188.350924 8
245.000 197.057143 8
246.000 188.217438 8
247.000 196.881475 8
248.000 201.973664 8
249.000 191.982864 8
250.000 193.901017 8
251.000 191.651998 8
252.000 220.864642 8
253.000 227.541360 8
254.000 220.390056 8
255.000 227.956303 8
256.000 240.206651 8
257.000 230.822880 8
258.000 237.618704 8
259.000 238.041999 8
260.000 225.232236 8
261.000 221.844764 8
262.000 267.556192 8
263.000 216.246302 8
264.000 215.988005 8
265.000 213.039894 8
266.000 193.397720 8
267.000 227.126780 8
268.000 205.181570 8
269.000 190.345436 8
270.000 203.419817 8
271.000 193.641142 8
272.000 190.069290 8
273.000 190.329281 8
274.000 191.103070 8
275.000 193.846813 8
276.000 170.631609 8
277.000 236.661308 8
278.000 206.639198 8
279.000 182.186600 8
280.000 189.707826 8
281.000 188.912516 8
282.000 201.663784 8
283.000 211.479758 8
284.000 216.112063 8
285.000 201.698319 8
286.000 221.766894 8
287.000 209.590074 8
288.000 221.665922 8
289.000 216.116806 8
290.000 218.459356 8
291.000 193.921901 8
292.000 219.167405 8
293.000 213.539334 8
294.000 198.184636 8
295.000 301.126561 8
296.000 201.874700 8
297.000 203.043752 8
298.000 200.133484 8
299.000 208.016111 8
